내장 배터리용 전원 충전,오늘 발전량,오늘 평균 배터리 전력,볼트,timestamp
0.14W,1.48 Wt,45%,0.0,2024-12-26 15:20:56
0.14W,1.48 Wt,45%,0.0044871794872,2024-12-26 15:22:17
0.14W,1.48 Wt,45%,0.0280000000000,2024-12-26 15:23:40
0.14W,1.48 Wt,45%,0.0280000000000,2024-12-26 15:24:40
0.14W,1.48 Wt,45%,0.0280000000000,2024-12-26 15:25:41
0.14W,1.48 Wt,45%,0.0280000000000,2024-12-26 15:26:19
0.14W,1.48\0,45%,0.0280000000000,2024-12-26 15:26:54
0.14W,1.48\0,45%,0.0280000000000,2024-12-26 15:28:39
0.14W,1.48\0  |,45%,0.0280000000000,2024-12-26 15:29:21
0.14W,1.48\0  |,45%,0.0280000000000,2024-12-26 15:30:53
0.14W,1.48 Wh,45%,0.0280000000000,2024-12-26 15:36:27
207 으,,,계산 불가,2024-12-26 15:37:27
0.14W,1.48 Wh,45%,0.0280000000000,2024-12-26 15:38:28
0.14W,1.48 Wh,45%,0.0280000000000,2024-12-26 15:39:28
0.14W,1.48 Wh,45%,0.0280000000000,2024-12-26 15:40:29
